Date,Open,High,Low,Close,Adj Close,Volume
2023-12-11,6203.390137,6228.290039,6167.209961,6228.290039,6228.290039,107100
2023-12-12,6225.750000,6292.390137,6206.879883,6292.390137,6292.390137,61800
2023-12-13,6256.669922,6306.009766,6245.660156,6255.740234,6255.740234,54500
2023-12-14,6280.259766,6411.240234,6280.259766,6410.479980,6410.479980,156500
2023-12-15,6402.750000,6478.439941,6396.479980,6478.439941,6478.439941,238200
2023-12-18,6459.910156,6516.330078,6452.419922,6475.500000,6475.500000,118400
2023-12-19,6455.009766,6524.580078,6455.009766,6521.270020,6521.270020,114500
2023-12-20,6521.959961,6566.410156,6500.970215,6520.750000,6520.750000,197400
2023-12-21,6486.270020,6496.419922,6428.120117,6469.229980,6469.229980,204200
2023-12-22,6466.930176,6501.000000,6459.680176,6501.000000,6501.000000,158300
2023-12-25,null,null,null,null,null,null
2023-12-26,null,null,null,null,null,null
2023-12-27,6499.600098,6500.540039,6462.799805,6462.799805,6462.799805,86900
2023-12-28,6478.600098,6519.109863,6472.290039,6519.109863,6519.109863,61000
2023-12-29,6514.750000,6523.830078,6450.040039,6450.040039,6450.040039,78000
2024-01-01,null,null,null,null,null,null
2024-01-02,6478.520020,6555.609863,6464.339844,6554.040039,6554.040039,63600
2024-01-03,6539.810059,65444.898438,6483.799805,6498.879883,6498.879883,43700
2024-01-04,6505.109863,6602.919922,6493.370117,6602.520020,6602.520020,88800
2024-01-05,6606.240234,6629.640137,6583.060059,6629.640137,6629.640137,99400
2024-01-08,6633.209961,6661.250000,6609.220215,6609.220215,6609.220215,85300
2024-01-09,6628.549805,6678.350098,6618.520020,6618.520020,6618.520020,96500
2024-01-10,6587.669922,6593.770020,6546.109863,6546.109863,6546.109863,84000
2024-01-11,6562.370117,6637.700195,6562.370117,6613.729980,6613.729980,78700
2024-01-12,6619.910156,6676.540039,6619.910156,6643.180176,6643.180176,70200
2024-01-15,6655.990234,6695.410156,6650.410156,6680.450195,6680.450195,70300
2024-01-16,6681.669922,6695.169922,6637.000000,6637.000000,6637.000000,89800
2024-01-17,6647.080078,6663.680176,6567.759766,6572.509766,6572.509766,133300
2024-01-18,6567.290039,6570.299805,6500.310059,6510.870117,6510.870117,86700
2024-01-19,6528.680176,6528.680176,6496.959961,6503.540039,6503.540039,66000
2024-01-22,6532.830078,6583.470215,6532.830078,6583.470215,6583.470215,75000
2024-01-23,6594.290039,6624.430176,6593.069824,6621.879883,6621.879883,67100
2024-01-24,6630.259766,6679.959961,6626.819824,6679.959961,6679.959961,76600
2024-01-25,6676.399902,6687.120117,6644.589844,6673.500000,6673.500000,88500
2024-01-26,6674.439941,6686.089844,6643.830078,6686.089844,6686.089844,72500
2024-01-29,6680.680176,6689.180176,6630.680176,6630.680176,6630.680176,54800
2024-01-30,6636.040039,6662.439941,6622.009766,6622.009766,6622.009766,83000
2024-01-31,6633.450195,6722.319824,6633.450195,6646.439941,6646.439941,97100
2024-02-01,6623.939941,6644.109863,6601.339844,6623.009766,6623.009766,65600
2024-02-02,6652.479980,6765.379883,6652.040039,6707.250000,6707.250000,136900
2024-02-05,6702.120117,6760.410156,6702.120117,6728.220215,6728.220215,69900
2024-02-06,6756.720215,6774.209961,6695.819824,6755.259766,6755.259766,80100
2024-02-07,6772.930176,6877.609863,6772.930176,6830.040039,6830.040039,104600
2024-02-08,6844.609863,6931.549805,6844.609863,6850.160156,6850.160156,112200
2024-02-09,null,null,null,null,null,null
2024-02-12,6856.450195,6891.689941,6807.819824,6807.819824,6807.819824,74900
2024-02-13,6824.080078,6848.569824,6824.080078,6827.919922,6827.919922,99300
2024-02-14,6810.640137,6854.529785,6780.729980,6854.529785,6854.529785,82300
2024-02-15,6862.379883,6918.149902,6855.729980,6882.149902,6882.149902,83400
2024-02-16,6893.220215,6916.430176,6873.229980,6873.229980,6873.229980,93200
2024-02-19,6882.319824,6901.310059,6798.609863,6798.609863,6798.609863,92800
2024-02-20,6818.140137,6860.799805,6818.140137,6854.660156,6854.660156,73200
2024-02-21,6846.529785,6897.359863,6833.919922,6897.359863,6897.359863,84900
2024-02-22,6899.609863,6922.500000,6896.330078,6903.149902,6903.149902,72300
2024-02-23,6915.250000,6990.649902,6913.209961,6913.209961,6913.209961,71400
2024-02-26,6918.729980,6941.850098,6891.490234,6891.490234,6891.490234,59700
2024-02-27,6887.359863,6887.359863,6842.330078,6860.669922,6860.669922,91400
2024-02-28,6864.390137,6878.229980,6845.810059,6876.520020,6876.520020,68100
2024-02-29,6908.729980,6944.709961,6887.910156,6944.709961,6944.709961,153100
2024-03-01,6931.319824,7005.299805,6919.589844,6919.589844,6919.589844,57500
2024-03-04,6923.240234,7021.040039,6908.810059,6951.669922,6951.669922,80600
2024-03-05,6969.080078,6981.839844,6905.459961,6905.459961,6905.459961,88800
2024-03-06,6882.430176,6894.479980,6861.549805,6878.540039,6878.540039,89100
2024-03-07,6849.629883,6851.859863,6807.439941,6837.339844,6837.339844,76900
2024-03-08,6839.740234,6942.209961,6835.529785,6942.209961,6942.209961,75800
2024-03-11,6939.540039,6939.540039,6852.209961,6872.240234,6872.240234,79800
